sample_index,datetime,source,cluster_id,is_noise
425,2023-12-26T00:43:04.736398+00:00,FILE,18,False
426,2022-05-07T05:28:02.385567+00:00,REG,14,False
427,2022-07-20T02:56:48.285392+00:00,REG,34,False
428,2023-11-14T20:13:42.144801+00:00,FILE,11,False
429,2023-11-15T17:58:23.486491+00:00,REG,29,False
430,2023-11-14T20:38:10.941755+00:00,FILE,11,False
431,2023-09-30T08:14:58.000000+00:00,PE,26,False
432,2023-11-14T20:00:53.590029+00:00,FILE,11,False
433,2023-11-16T01:39:24.753442+00:00,FILE,11,False
434,2023-11-15T18:53:44.125107+00:00,FILE,72,False
435,2023-11-15T18:55:59.753934+00:00,FILE,20,False
436,2015-07-23T06:07:06.000000+00:00,FILE,1,False
437,2022-05-07T05:28:04.698227+00:00,REG,43,False
438,2023-11-15T18:27:51.646058+00:00,EVT,62,False
439,2023-11-15T18:45:35.810018+00:00,FILE,51,False
440,2023-11-15T18:49:49.636585+00:00,FILE,53,False
441,2023-11-15T18:21:15.296924+00:00,FILE,9,False
442,2023-11-15T18:42:43.255139+00:00,FILE,80,False
443,2023-11-01T18:15:24.000000+00:00,PE,26,False
444,2023-11-14T20:05:27.206133+00:00,FILE,11,False
445,2023-11-15T18:59:47.810309+00:00,FILE,80,False
446,2023-11-15T18:49:30.118508+00:00,REG,16,False
447,2023-11-15T18:36:18.330425+00:00,FILE,5,False
448,2023-11-16T01:38:33.571067+00:00,FILE,11,False
449,2023-11-15T18:41:03.299664+00:00,FILE,80,False
450,2023-11-15T18:46:00.944335+00:00,FILE,1,False
451,2023-11-16T01:37:32.933917+00:00,FILE,77,False
452,2023-11-15T18:51:43.584829+00:00,FILE,96,False
453,2022-05-07T05:20:42.225613+00:00,FILE,11,False
454,2023-12-26T00:42:57.288683+00:00,FILE,18,False
455,2022-05-07T05:27:59.322907+00:00,REG,2,False
456,2023-11-15T18:12:56.588223+00:00,FILE,11,False
457,2022-05-07T05:28:04.135682+00:00,REG,43,False
458,2022-09-24T18:13:11.000000+00:00,FILE,11,False
459,2022-05-07T05:19:47.977359+00:00,FILE,11,False
460,2023-11-16T01:38:35.356032+00:00,FILE,11,False
461,2022-09-25T02:32:53.605043+00:00,FILE,11,False
462,2022-05-07T05:18:31.792552+00:00,FILE,11,False
463,2023-11-16T01:42:14.169980+00:00,FILE,11,False
464,2022-05-07T05:28:01.448018+00:00,REG,88,False
465,2023-11-16T01:36:50.655673+00:00,FILE,11,False
