representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 2, ""reg_covar"": 1e-06}",0.209,,2,0,0.0,0.1120800524950027,1527.6416641138762,4.130195871695704,74627.37005073782,72854.59461557136,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.0001}",1.238,,20,0,0.0,0.33352130651474,1408.69989098869,2.220561219142825,-5602778.7562191775,-5620585.888575402,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.001}",1.385,,20,0,0.0,0.3368264436721802,1444.375042129566,2.204370163681902,-3667331.460204405,-3685138.59256063,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-05}",1.306,,20,0,0.0,0.3323942422866821,1402.845253939901,2.2232594967144435,-6841846.735785545,-6859653.868141769,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-06}",1.297,,20,0,0.0,0.3320387899875641,1401.0162121930348,2.223579560846459,-7494773.514876221,-7512580.647232446,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 3, ""reg_covar"": 0.0001}",0.403,,3,0,0.0,0.1012673005461692,1335.6162300352144,4.039395900291004,-908707.1745626322,-911370.747604524,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 3, ""reg_covar"": 0.001}",0.301,,3,0,0.0,0.101721242070198,1358.3256057440435,4.042164923509023,274583.01448539447,271919.4414435025,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 3, ""reg_covar"": 1e-05}",0.371,,3,0,0.0,0.1012673005461692,1334.6308728478366,4.040500926524989,-1374823.542442024,-1377487.115483916,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 3, ""reg_covar"": 1e-06}",0.345,,3,0,0.0,0.1012673005461692,1334.6308728478366,4.040500926524989,-1480162.8380857094,-1482826.4111276013,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 30, ""reg_covar"": 0.0001}",1.813,,30,0,0.0,0.5292101502418518,1668.947623588153,1.922299536189184,-8417687.232949087,-8444402.341372566,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 30, ""reg_covar"": 0.001}",1.945,,30,0,0.0,0.5371127724647522,1740.525893370079,1.862483053783802,-5437340.706555672,-5464055.814979151,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 30, ""reg_covar"": 1e-05}",1.706,,30,0,0.0,0.5270211100578308,1651.7323879479625,1.938086292502533,-10985610.39991462,-11012325.5083381,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 30, ""reg_covar"": 1e-06}",1.594,,30,0,0.0,0.526218056678772,1647.8656946486683,1.948252330568389,-13259164.33705365,-13285879.445477128,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 4, ""reg_covar"": 0.0001}",0.351,,4,0,0.0,0.0988522246479988,1201.6419575943398,3.3901955598977267,-1485818.3682311715,-1489372.738879789,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 4, ""reg_covar"": 0.001}",0.429,,4,0,0.0,0.0985805764794349,1202.2945266759891,3.3963993124453484,-140318.36092702893,-143872.73157564626,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 4, ""reg_covar"": 1e-05}",0.305,,4,0,0.0,0.098712220788002,1196.1925258764588,3.387416252502213,-2197575.285208167,-2201129.6558567844,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 4, ""reg_covar"": 1e-06}",0.303,,4,0,0.0,0.0986243560910224,1193.9646103280002,3.3917109149427427,-2420375.445403632,-2423929.8160522496,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 40, ""reg_covar"": 0.0001}",2.699,,40,0,0.0,0.6061210036277771,2123.599418811448,1.588138081562556,-9152902.666502863,-9188525.750993596,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 40, ""reg_covar"": 0.001}",2.593,,40,0,0.0,0.6154897212982178,2235.710756595935,1.549509214270462,-6138412.982286396,-6174036.06677713,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 40, ""reg_covar"": 1e-05}",3.535,,40,0,0.0,0.5987414121627808,2067.6102082302787,1.597038860915976,-11886581.484010443,-11922204.568501178,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 40, ""reg_covar"": 1e-06}",2.545,,40,0,0.0,0.5969552993774414,2043.0278159825104,1.6029825862396,-14289221.414702345,-14324844.499193078,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 5, ""reg_covar"": 0.0001}",0.374,,5,0,0.0,0.1090209931135177,1267.3722702619928,3.129661063187428,-1665603.835088698,-1670049.0033440408,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 5, ""reg_covar"": 0.001}",0.47,,5,0,0.0,0.1088738292455673,1274.452375091584,3.136418433340341,-316421.57131036656,-320866.7395657094,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 5, ""reg_covar"": 1e-05}",0.397,,5,0,0.0,0.108905091881752,1266.3223776553152,3.1302473185399684,-2381727.483101335,-2386172.651356677,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 5, ""reg_covar"": 1e-06}",0.392,,5,0,0.0,0.108817309141159,1264.726964161329,3.133432807024828,-2604529.885343291,-2608975.053598633,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 0.0001}",3.472,,50,0,0.0,0.6359530091285706,2472.418360944535,1.535201182364507,-9389163.607598238,-9433694.668156223,,,,
