representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,stage_dir,parameter_value,parameter_type,parameter_note
tfidf,dbscan,123,"{""eps"": 3.245715, ""metric"": ""euclidean"", ""min_samples"": 5}",12.17,,270,838,0.01676,0.6334556937217712,1086.9342696984586,0.7946921316966404,0.599039614200592,885.8322791334748,1.1260312193787283,,,,primary_k_sensitivity_seed123,"eps=3.246, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,dbscan,123,"{""eps"": 4.186361, ""metric"": ""euclidean"", ""min_samples"": 10}",17.503,,119,752,0.01504,0.3716964423656463,746.4119269226402,0.8260628490142977,0.3555441796779632,684.2515804100543,1.2008911753592717,,,,primary_k_sensitivity_seed123,"eps=4.186, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,hdbscan,123,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",71.661,,358,4917,0.09834,0.9250829815864564,14370.62225105517,0.3994099625797581,0.7556499242782593,706.1211226495332,1.0604226802853989,,,,primary_k_sensitivity_seed123,min_cluster_size=15,density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,hdbscan,123,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 30, ""min_samples"": null}",76.3,,196,5589,0.11178,0.9228773713111876,13178.095166856108,0.4240369368480642,0.7349204421043396,1009.3467301981344,1.1348967423124563,,,,primary_k_sensitivity_seed123,min_cluster_size=30,density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,hdbscan,123,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",68.279,,119,5564,0.11128,0.910085916519165,13131.61598001608,0.4312379340964156,0.7364919185638428,1490.375291727006,1.2113627316059623,,,,primary_k_sensitivity_seed123,min_cluster_size=50,density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.0001}",0.819,,10,0,0.0,0.221243068575859,1232.7557936346377,2.5452460769035588,,,,,-3458974.317775961,-3467873.4740649317,primary_k_sensitivity_seed123,10,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.001}",0.901,,10,0,0.0,0.2216047048568725,1249.2981048609404,2.5508855270271824,,,,,-1629710.7912988048,-1638609.9475877748,primary_k_sensitivity_seed123,10,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-05}",0.848,,10,0,0.0,0.2204137742519378,1230.9370303237288,2.545665752780608,,,,,-4639503.389865909,-4648402.546154879,primary_k_sensitivity_seed123,10,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-06}",0.858,,10,0,0.0,0.2186847627162933,1223.6018469630749,2.5471609594040627,,,,,-5473083.849515108,-5481983.005804079,primary_k_sensitivity_seed123,10,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.0001}",1.455,,20,0,0.0,0.3164161145687103,1348.1684688794237,2.2016054359540225,,,,,-5095643.620277641,-5113450.752633866,primary_k_sensitivity_seed123,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.001}",1.366,,20,0,0.0,0.3193067014217376,1367.7675127226971,2.2076963420414204,,,,,-3258699.769480852,-3276506.9018370765,primary_k_sensitivity_seed123,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-05}",1.622,,20,0,0.0,0.3138017654418945,1335.5831797941548,2.214370489913912,,,,,-6373808.983559243,-6391616.115915468,primary_k_sensitivity_seed123,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-06}",1.573,,20,0,0.0,0.3129672706127167,1334.094958241873,2.2151052231052804,,,,,-7215669.099343649,-7233476.231699874,primary_k_sensitivity_seed123,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 0.0001}",3.083,,50,0,0.0,0.6248722672462463,2429.9112508107914,1.596951720892194,,,,,-9351424.01378104,-9395955.074339028,primary_k_sensitivity_seed123,50,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 0.001}",3.788,,50,0,0.0,0.6354522705078125,2466.179016242931,1.6062748147899242,,,,,-6325412.912043572,-6369943.972601559,primary_k_sensitivity_seed123,50,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-05}",4.472,,50,0,0.0,0.6128731966018677,2284.5813622011365,1.637993860249536,,,,,-12141372.302042449,-12185903.362600436,primary_k_sensitivity_seed123,50,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,123,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",4.509,,50,0,0.0,0.6110256314277649,2266.5475743927886,1.6425657217570595,,,,,-14518166.900485916,-14562697.961043904,primary_k_sensitivity_seed123,50,n_components,Explicit k/n_components sensitivity value.
word2vec,agglomerative,123,"{""linkage"": ""ward"", ""n_clusters"": 10}",104.973,,10,0,0.0,0.2817869484424591,1035.025173805642,2.9891530173122898,,,,,,,primary_k_sensitivity_seed123,10,k,Explicit k/n_components sensitivity value.
word2vec,agglomerative,123,"{""linkage"": ""ward"", ""n_clusters"": 20}",110.243,,20,0,0.0,0.3840786814689636,1115.3905733476292,2.361265659712573,,,,,,,primary_k_sensitivity_seed123,20,k,Explicit k/n_components sensitivity value.
word2vec,agglomerative,123,"{""linkage"": ""ward"", ""n_clusters"": 50}",106.869,,50,0,0.0,0.5122844576835632,1254.3146098328707,1.7054998794870455,,,,,,,primary_k_sensitivity_seed123,50,k,Explicit k/n_components sensitivity value.
word2vec,kmeans,123,"{""n_clusters"": 10}",1.036,,10,0,0.0,0.0711394250392913,959.1113722049128,2.721661163195336,,,,2131879.75,,,primary_k_sensitivity_seed123,10,k,Explicit k/n_components sensitivity value.
